Store,Week,Month,Day, Amount 
2327,24,6,3,"12,529.13"
2327,24,6,4,"13,174.96"
2327,24,6,5,"14,466.62"
2327,24,6,6,"18,470.78"
2327,24,6,7,"18,470.78"
2327,25,6,1,"12,529.13"
2327,25,6,2,"11,883.30"
2327,25,6,3,"18,470.78"
2327,25,6,4,"11,883.30"
2327,25,6,5,"13,174.96"
2327,25,6,6,"17,179.12"
2327,25,6,7,"17,695.78"
2327,26,6,1,"11,883.30"
2327,26,6,2,"11,237.47"
2327,26,6,3,"13,820.79"
2327,26,6,4,"15,112.45"
2327,26,6,5,"15,758.29"
2327,26,6,6,"21,699.94"
2327,26,6,7,"22,474.93"
2327,27,7,1,"15,758.29"
2327,27,7,2,"14,466.62"
2327,27,7,3,"13,174.96"
2327,27,7,4,"13,174.96"
2327,27,7,5,"15,112.45"
2327,27,7,6,"21,829.10"
2327,27,7,7,"22,474.93"
2327,28,7,1,"13,820.79"
2327,28,7,2,"12,529.13"
2327,28,7,3,"12,529.13"
2327,28,7,4,"12,529.13"
2327,28,7,5,"13,820.79"
2327,28,7,6,"19,116.61"
2327,28,7,7,"19,762.44"
2327,29,7,1,"11,883.30"
2327,29,7,2,"11,237.47"
2327,29,7,3,"11,237.47"
2327,29,7,4,"11,237.47"
2327,29,7,5,"13,174.96"
2327,29,7,6,"18,470.78"
2327,29,7,7,"18,341.61"
2327,30,7,1,"11,883.30"
2327,30,7,2,"11,624.97"
2327,30,7,3,"11,624.97"
2327,30,7,4,"14,466.62"
2327,30,7,5,"16,533.28"
2327,30,7,6,"21,699.94"
2327,30,7,7,"22,345.77"
2327,31,8,1,"14,337.46"
2327,31,8,2,"13,820.79"
2327,31,8,3,"13,820.79"
2327,31,8,4,"13,820.79"
2327,31,8,5,"16,533.28"
2327,31,8,6,"22,474.93"
2327,31,8,7,"22,474.93"
2327,32,8,1,"13,174.96"
2327,32,8,2,"13,174.96"
2327,32,8,3,"13,174.96"
2327,32,8,4,"13,174.96"
2327,32,8,5,"14,466.62"
2327,32,8,6,"21,054.10"
2327,32,8,7,"21,183.27"
2327,33,8,1,"13,949.96"
2327,33,8,2,"11,883.30"
2327,33,8,3,"11,883.30"
2327,33,8,4,"11,883.30"
2327,33,8,5,"13,820.79"
2327,33,8,6,"19,504.11"
2327,33,8,7,"19,374.94"
2327,34,8,1,"11,883.30"
2327,34,8,2,"11,883.30"
2327,34,8,3,"11,883.30"
2327,34,8,4,"11,883.30"
2327,34,8,5,"13,174.96"
2327,34,8,6,"18,470.78"
2327,34,8,7,"18,341.61"
2327,35,9,1,"15,758.29"
2327,35,9,2,"18,470.78"
2327,35,9,3,"13,174.96"
2327,35,9,4,"13,174.96"
2327,35,9,5,"15,758.29"
2327,35,9,6,"22,345.77"
2327,35,9,7,"22,474.93"
2327,36,9,1,"21,699.94"
2327,36,9,2,"13,174.96"
2327,36,9,3,"13,174.96"
2327,36,9,4,"13,174.96"
2327,36,9,5,"15,758.29"
2327,36,9,6,"20,408.27"
2327,36,9,7,"20,537.44"
2327,37,9,1,"13,045.79"
2327,37,9,2,"12,529.13"
2327,37,9,3,"12,529.13"
2327,37,9,4,"12,529.13"
2327,37,9,5,"13,174.96"
2327,37,9,6,"18,470.78"
2327,37,9,7,"18,470.78"
2327,38,9,1,"13,174.96"
2327,38,9,2,"13,174.96"
2327,38,9,3,"17,179.12"
2327,38,9,4,"13,174.96"
2327,38,9,5,"13,174.96"
2327,38,9,6,"18,470.78"
2327,38,9,7,"18,341.61"
2327,39,9,1,"11,883.30"
2327,39,9,2,"11,237.47"
2327,39,9,3,"11,237.47"
2327,39,9,4,"13,820.79"
2327,39,9,5,"15,758.29"
2327,39,9,6,"21,699.94"
2327,39,9,7,"21,699.94"
