StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
2092,LOTUS'S BKT BERUNTUNG, 43.0 ,0.1352,0.3274,460,0.2172,3.0,0.6880,0.3964
2099,BDR TASIK PUTERI, 45.3 ,0.1246,0.3399,650,0.2272,3.4,0.7176,0.5488
2115,CALTEX ULU YAM, 46.6 ,0.1231,0.3155,420,0.2893,3.6,0.7338,0.5689
2189,ANGGUN CITY RAWANG, 76.1 ,0.1000,0.4243,970,0.2358,4.5,0.4500,0.4395
35,KUANTAN PARADE, 48.1 ,0.1216,0.3797,790,0.2541,3.6,0.6263,0.5750
43,BERJAYA MEGAMALL, 43.0 ,0.1124,0.4114,460,0.2061,3.3,0.6269,0.4878
192,PEKAN, 52.7 ,0.1064,0.3753,880,0.2105,3.7,0.6373,0.7274
193,JALAN BESERAH, 62.8 ,0.1115,0.3766,1110,0.2323,4.0,0.6667,0.7445
208,JALAN TUN ISMAIL, 47.3 ,0.1191,0.3217,600,0.2686,3.5,0.6524,0.6219
345,MUADZAM SHAH PAHANG, 43.0 ,0.1195,0.3034,400,0.2449,3.2,0.6350,0.6822
383,EAST COAST MALL, 45.7 ,0.1064,0.3543,1350,0.2069,3.3,0.6267,0.3500
399,TAMAN TAS KUANTAN, 51.6 ,0.1076,0.3310,1300,0.2358,3.7,0.6278,0.6825
531,KUANTAN CITY MALL, 47.5 ,0.1066,0.3834,600,0.2403,3.4,0.6217,0.4321
2005,JALAN AIR PUTIH, 47.8 ,0.1339,0.3191,400,0.2942,3.4,0.6707,0.6071
2041,JLN GAMBANG KUANTAN, 48.0 ,0.1225,0.3464,510,0.2364,3.6,0.6299,0.5820
2155,LOTUS'S INDERA MAHKOTA, 45.0 ,0.1261,0.3726,1020,0.2139,3.3,0.5819,0.3500
2164,MUADZAM SHAH 2, 49.4 ,0.1078,0.3497,740,0.2828,3.6,0.6848,0.5389
2196,BALOK SENTRAL, 51.6 ,0.1043,0.3637,650,0.2383,3.6,0.6571,0.5692
2246,KUALA ROMPIN, 54.2 ,0.1108,0.3539,400,0.2320,3.7,0.6234,0.5554
19,AEON ALPHA ANGLE, 45.5 ,0.1133,0.3666,1350,0.2454,3.4,0.6215,0.4059
78,JALAN GENTING KLANG, 43.0 ,0.1129,0.3000,400,0.1820,3.1,0.7073,0.5748
82,DESA SETAPAK, 43.0 ,0.1462,0.3174,460,0.2988,3.0,0.5987,0.6735
113,WAWASAN AMPANG, 43.0 ,0.1161,0.3157,420,0.2619,3.0,0.6148,0.7280
230,AEON AU2 SHOPPING CENTRE, 47.6 ,0.1124,0.3380,970,0.2561,3.5,0.6206,0.5616
275,SETAPAK CENTRAL, 53.3 ,0.1055,0.3760,3340,0.2899,3.6,0.6751,0.5038
541,PLAZA CRYSTALVILLE, 43.0 ,0.1354,0.3487,790,0.2702,3.0,0.6383,0.6630
631,AEON BIG AMPANG, 43.0 ,0.1356,0.3231,420,0.2370,3.3,0.6673,0.6289
636,DATARAN JELATEK, 43.0 ,0.1237,0.3352,400,0.2155,3.2,0.4849,0.7268
2013,PETRON UKAY PERDANA, 47.2 ,0.1170,0.3094,400,0.2562,3.6,0.5800,0.6245
2100,SRI RAMPAI, 44.3 ,0.1184,0.3297,930,0.3086,3.3,0.5348,0.5421
9,SELAYANG MALL, 55.6 ,0.1113,0.3566,4270,0.3491,4.0,0.6509,0.4495
63,SRI GOMBAK, 50.2 ,0.1202,0.3201,1390,0.2743,3.7,0.6074,0.6350
77,AEON KEPONG, 52.5 ,0.1082,0.3958,1580,0.2256,3.4,0.5544,0.6586
131,FIRST WORLD HOTEL, 43.0 ,0.1000,0.3000,970,0.1839,3.0,0.5591,0.6121
212,AEON BIG KEPONG, 43.0 ,0.1338,0.3359,840,0.2297,3.0,0.6547,0.3790
246,LOTUS'S KEPONG, 51.6 ,0.1475,0.3894,1810,0.2559,3.5,0.5314,0.4556
586,DATARAN TEMPLER, 47.8 ,0.1223,0.3017,2130,0.2990,3.6,0.5932,0.7192
619,SKY AVENUE, 44.1 ,0.1000,0.3829,600,0.1959,3.4,0.5029,0.3500
655,LOTUS'S SELAYANG, 42.9 ,0.1162,0.3411,560,0.2086,3.2,0.4715,0.4284
2063,LAMAN RIMBUNAN KEPONG, 55.4 ,0.1269,0.4046,1070,0.2637,3.6,0.6077,0.4777
2248,168 PARK SELAYANG, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
2258,SKY AVENUE 2, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
40,MEGAMALL PINANG SHOP, 43.9 ,0.1087,0.3358,510,0.2360,3.3,0.5574,0.5049
272,KULIM CENTRAL, 49.3 ,0.1357,0.4101,1160,0.2430,3.2,0.6131,0.3550
284,LOTUS'S BUKIT MERTAJAM, 47.2 ,0.1152,0.3591,840,0.2403,3.3,0.6219,0.3703
369,AEON BUKIT MERTAJAM, 57.1 ,0.1156,0.4046,2000,0.2678,3.5,0.6409,0.3873
421,LOTUS'S KULIM, 44.1 ,0.1228,0.3473,700,0.2333,3.2,0.5475,0.4641
522,MYDIN BUKIT MERTAJAM, 43.0 ,0.1422,0.3584,1250,0.2522,3.0,0.5741,0.3959
540,BANDAR PERDA, 55.7 ,0.1354,0.3832,700,0.2609,3.8,0.6214,0.6456
2029,AUTO CITY, 66.5 ,0.1297,0.4537,840,0.2625,4.1,0.6035,0.5000
2081,GRAVITAS PENANG, 56.0 ,0.1471,0.4113,1300,0.3162,3.9,0.6393,0.5404
2112,SERAI WANGI MALL, 47.3 ,0.1310,0.3881,1020,0.2519,3.3,0.5897,0.3500
2140,MAJU UTAMA, 54.0 ,0.1222,0.3679,420,0.2561,3.5,0.5861,0.5747
2157,KULIM LANDMARK CITY, 53.0 ,0.1182,0.3730,650,0.2512,3.5,0.6453,0.5514
2261,KELANG LAMA SQUARE KULIM, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
7,KOMPLEKS M.P.K.S., 43.0 ,0.1385,0.3672,1810,0.3553,3.3,0.6568,0.4351
123,STAR PARADE, 45.9 ,0.1240,0.3819,790,0.3042,3.4,0.6421,0.3500
182,MEDAN PUTRA, 44.1 ,0.1380,0.3215,1210,0.3489,3.4,0.6282,0.5014
183,PEKAN SIMPANG KUALA, 50.5 ,0.1340,0.3393,420,0.3547,3.6,0.7528,0.6039
184,PERSIARAN SULTAN ABD, 46.9 ,0.1360,0.3245,600,0.3240,3.5,0.6918,0.6842
261,ALOR STAR MALL, 46.1 ,0.1436,0.3590,1440,0.2947,3.2,0.6555,0.4574
394,LOTUS'S MERGONG, 44.8 ,0.1419,0.3778,3940,0.2682,3.2,0.6293,0.3800
401,JERAI PLAZA, 52.2 ,0.1554,0.4002,1860,0.3976,3.7,0.7707,0.4823
592,LOTUS'S STARGATE, 43.0 ,0.1443,0.3273,510,0.3409,3.2,0.6646,0.4650
654,AMAN CENTRAL, 51.9 ,0.1070,0.3687,5750,0.3176,3.5,0.7229,0.3500
2106,PENDANG KEDAH, 52.2 ,0.1329,0.3686,1950,0.3516,3.8,0.7046,0.5696
2163,GUAR CHEMPEDAK, 46.7 ,0.1339,0.3693,2090,0.3562,3.5,0.7263,0.5779
2186,CONVENT ALOR SETAR, 48.2 ,0.1245,0.3820,1440,0.3471,3.6,0.6860,0.4723
154,PARIT BUNTAR, 50.0 ,0.1131,0.3725,600,0.2373,3.3,0.6632,0.7091
185,TAIPING, 44.2 ,0.1288,0.3153,510,0.3497,3.3,0.7009,0.7349
301,BAGAN SERAI, 49.9 ,0.1004,0.3000,420,0.2448,3.6,0.6393,0.6516
309,TAIPING SENTRAL MALL, 45.1 ,0.1195,0.3710,400,0.2530,3.3,0.6227,0.3500
382,KERIAN SENTRAL, 43.0 ,0.1361,0.3956,1390,0.2500,3.1,0.6246,0.4916
384,AEON MALL TAIPING, 45.5 ,0.1197,0.3667,560,0.2180,3.2,0.6150,0.4361
409,GERIK, 46.3 ,0.1406,0.3463,460,0.2576,3.4,0.6717,0.7037
472,LOTUS'S TAIPING, 45.3 ,0.1317,0.3477,790,0.2923,3.4,0.6442,0.4935
671,C-MART NIBONG TEBAL, 44.4 ,0.1308,0.3836,650,0.2520,3.1,0.6435,0.4171
2016,KUALA KANGSAR, 49.4 ,0.1217,0.3754,700,0.2212,3.4,0.6554,0.5810
2070,SELAMA PERAK, 46.1 ,0.1258,0.3440,460,0.2498,3.5,0.6270,0.5635
2074,LENGGONG PERAK, 43.9 ,0.1193,0.3201,400,0.2705,3.2,0.7632,0.5199
2090,SUNGAI BAKAP PENANG, 53.2 ,0.1226,0.3686,420,0.2914,3.6,0.6029,0.5573
310,AEON BIG PNANG PRAI, 43.0 ,0.1415,0.3388,700,0.2788,3.2,0.6308,0.3500
335,SUNSHINE BERTAM, 48.0 ,0.1278,0.4145,880,0.2810,3.4,0.7495,0.5671
337,LOTUS'S SEBERANG JAYA, 43.5 ,0.1498,0.3877,1020,0.2688,3.2,0.6176,0.4771
471,DESIGN VILLAGE, 46.2 ,0.1225,0.3799,400,0.2031,3.3,0.6370,0.5620
505,LOTUS'S BERTAM PERDANA, 51.3 ,0.1623,0.3894,1950,0.3097,3.6,0.6519,0.4774
612,LOTUS'S BAGAN AJAM, 45.6 ,0.1595,0.3477,740,0.2838,3.2,0.6328,0.4756
668,PEARL CITY MALL, 43.0 ,0.1418,0.3461,600,0.2383,3.0,0.5887,0.5421
2113,ICONIC POINT, 53.5 ,0.1245,0.3829,740,0.3277,3.5,0.7116,0.4168
2126,JLN ONG YI HOW, 58.9 ,0.1638,0.4151,1760,0.3380,3.8,0.6533,0.5419
